mes,n_ventas,ventas_totales
2021-01-01,179,2394997.2600000002
2021-02-01,209,2953794.43
2021-03-01,174,2392893.06
2021-04-01,139,2072045.35
2021-05-01,143,2012514.37
2021-06-01,147,2201589.82
2021-07-01,165,2376111.29
2021-08-01,190,2761254.77
2021-09-01,225,3274905.96
2021-10-01,197,2952841.15
2021-11-01,212,3122080.2
2021-12-01,216,3244514.95
2022-01-01,215,3283929.07
2022-02-01,220,3421090.87
2022-03-01,244,3723228.16
2022-04-01,188,2966740.27
2022-05-01,197,3271994.87
2022-06-01,222,3623697.61
2022-07-01,155,2589975.43
2022-08-01,222,3577679.66
2022-09-01,192,2922865.5
2022-10-01,172,2570008.0
2022-11-01,211,3134200.45
2022-12-01,195,3094079.84
2023-01-01,255,3979487.93
2023-02-01,239,3694157.1
2023-03-01,169,2660272.41
2023-04-01,123,1905661.14
2023-05-01,150,2333350.32
2023-06-01,159,2533188.96
2023-07-01,180,2798850.78
2023-08-01,189,3038133.98
2023-09-01,100,1452174.15
2023-10-01,135,2114857.99
2023-11-01,136,2058560.92
2023-12-01,176,2624831.83
2024-01-01,185,2847457.04
2024-02-01,153,2180231.66
2024-03-01,161,2479194.9
2024-04-01,157,2361409.31
2024-05-01,129,2024125.29
2024-06-01,115,1665062.54
2024-07-01,181,2678437.3
2024-08-01,179,2621890.42
2024-09-01,183,2735342.43
2024-10-01,203,2931107.25
2024-11-01,211,3237986.67
